order_id,customer_id,amount,category,order_date
1,36,434.28,Beauty,2026-05-10
2,292,516.13,Beauty,2025-08-13
3,317,3770.98,Fashion,2026-03-08
4,216,3333.24,Coffee,2025-10-02
5,240,2859.25,Beauty,2025-07-28
6,280,3180.12,Beauty,2026-02-24
7,111,1148.58,Electronics,2025-11-25
8,139,1596.49,Coffee,2026-03-10
9,90,1928.73,Electronics,2025-09-07
10,315,4192.74,Electronics,2026-05-28
11,44,3236.97,Coffee,2025-06-17
12,93,2529.94,Electronics,2025-12-05
13,81,2570.25,Coffee,2025-10-01
14,50,4313.13,Coffee,2025-11-06
15,75,4540.87,Electronics,2025-08-03
16,280,555.25,Coffee,2025-10-13
17,341,3570.36,Coffee,2025-11-13
18,360,2454.82,Beauty,2025-12-01
19,363,2465.28,Coffee,2026-02-15
20,13,1179.73,Coffee,2026-05-20
21,279,258.94,Fashion,2026-03-27
22,117,1676.42,Fashion,2025-09-17
23,168,4993.73,Electronics,2026-05-12
24,403,4497.23,Beauty,2025-12-01
25,459,884.02,Electronics,2025-11-14
26,417,3442.6,Coffee,2026-04-05
27,475,1872.96,Fashion,2026-03-20
28,398,4043.05,Fashion,2025-06-28
29,11,4224.48,Beauty,2025-12-29
30,92,1177.04,Fashion,2025-06-25
31,184,2946.13,Beauty,2025-07-17
32,358,578.86,Electronics,2025-06-14
33,21,4282.08,Fashion,2025-09-08
34,294,2132.45,Fashion,2025-12-07
35,63,4630.83,Beauty,2025-11-25
36,152,923.41,Coffee,2025-12-01
37,251,571.57,Electronics,2026-05-21
38,25,2601.76,Fashion,2025-07-24
39,239,4740.49,Fashion,2025-09-05
40,267,1804.48,Electronics,2026-05-13
41,490,1587.39,Fashion,2025-07-20
42,374,2884.29,Fashion,2025-11-28
43,173,4224.68,Coffee,2025-10-13
44,416,2594.68,Beauty,2025-12-04
45,29,4046.05,Coffee,2025-07-25
46,438,4814.51,Coffee,2025-09-05
47,413,1395.19,Fashion,2025-11-22
48,333,3860.69,Fashion,2026-05-03
49,145,4208.87,Electronics,2025-07-20
50,242,1470.83,Fashion,2025-09-19
